author_name,file_name
Josh Cooper,spec/unit/provider/package/dpkg_spec.rb
Josh Cooper,spec/unit/provider/package/nim_spec.rb
Josh Cooper,spec/unit/provider/package/opkg_spec.rb
Josh Cooper,spec/unit/provider/package/pkg_spec.rb
Josh Cooper,spec/unit/provider/package/rpm_spec.rb
Josh Cooper,spec/unit/provider/package/urpmi_spec.rb
Josh Cooper,spec/unit/provider/service/openrc_spec.rb
Josh Cooper,spec/unit/resource/type_collection_spec.rb
Josh Cooper,spec/unit/util/diff_spec.rb
Josh Cooper,spec/unit/util/execution_spec.rb
Josh Cooper,spec/unit/util/filetype_spec.rb
Josh Cooper,spec/unit/util/plist_spec.rb
Jenkins CI,acceptance/tests/resource/package/yum.rb
Jenkins CI,lib/puppet/resource/type_collection.rb
Jenkins CI,spec/integration/type/file_spec.rb
Jenkins CI,spec/shared_examples/rhel_package_provider.rb
Jenkins CI,spec/unit/provider/package/aptitude_spec.rb
Jenkins CI,spec/unit/provider/package/aptrpm_spec.rb
Jenkins CI,spec/unit/provider/package/dpkg_spec.rb
Jenkins CI,spec/unit/provider/package/nim_spec.rb
Jenkins CI,spec/unit/provider/package/opkg_spec.rb
Jenkins CI,spec/unit/provider/package/pkg_spec.rb
Jenkins CI,spec/unit/provider/package/rpm_spec.rb
Jenkins CI,spec/unit/provider/package/urpmi_spec.rb
Jenkins CI,spec/unit/provider/service/openrc_spec.rb
Jenkins CI,spec/unit/resource/type_collection_spec.rb
Jenkins CI,spec/unit/util/diff_spec.rb
Jenkins CI,spec/unit/util/execution_spec.rb
Jenkins CI,spec/unit/util/filetype_spec.rb
Jenkins CI,spec/unit/util/plist_spec.rb
Josh Cooper,.gemspec
Josh Cooper,Gemfile
Josh Cooper,ext/project_data.yaml
Josh Cooper,Gemfile
Josh Cooper,Rakefile
Josh Cooper,docs/rspec_tutorial.md
Josh Cooper,tasks/ci.rake
Josh Cooper,Gemfile
Josh Cooper,api/schemas/file_metadata.json
Josh Cooper,spec/lib/matchers/json.rb
Josh Cooper,spec/unit/node_spec.rb
Josh Cooper,lib/puppet/defaults.rb
Josh Cooper,lib/puppet/face/config.rb
Josh Cooper,lib/puppet/settings.rb
Josh Cooper,spec/unit/application/master_spec.rb
Jenkins CI,lib/puppet/defaults.rb
Jenkins CI,lib/puppet/face/config.rb
Jenkins CI,lib/puppet/settings.rb
Jenkins CI,spec/unit/application/master_spec.rb
Jenkins CI,locales/puppet.pot
Jenkins CI,man/man5/puppet.conf.5
Jenkins CI,man/man8/puppet-config.8
Jenkins CI,locales/puppet.pot
Jenkins CI,man/man5/puppet.conf.5
Jenkins CI,man/man8/puppet-config.8
Patrick Carlisle,.travis.yml
Patrick Carlisle,spec/integration/indirector/facts/facter_spec.rb
Melissa,.gemspec
Melissa,Gemfile
Melissa,Rakefile
Melissa,api/schemas/file_metadata.json
Melissa,docs/rspec_tutorial.md
Melissa,ext/project_data.yaml
Melissa,spec/lib/matchers/json.rb
Melissa,spec/unit/node_spec.rb
Melissa,tasks/ci.rake
Josh Cooper,acceptance/tests/resource/scheduled_task/should_modify.rb
Josh Cooper,lib/puppet/environments.rb
Josh Cooper,lib/puppet/error.rb
Josh Cooper,lib/puppet/etc.rb
Josh Cooper,lib/puppet/network/http/connection.rb
Josh Cooper,lib/puppet/network/http/factory.rb
Josh Cooper,lib/puppet/node.rb
Josh Cooper,lib/puppet/pops/types/p_binary_type.rb
Josh Cooper,lib/puppet/pops/types/types.rb
Josh Cooper,lib/puppet/provider/service/base.rb
Josh Cooper,lib/puppet/settings/config_file.rb
Josh Cooper,lib/puppet/type/file/content.rb
Josh Cooper,lib/puppet/type/user.rb
Josh Cooper,lib/puppet/util/character_encoding.rb
Josh Cooper,lib/puppet/util/json.rb
Josh Cooper,lib/puppet/util/rubygems.rb
Josh Cooper,spec/integration/util/windows/registry_spec.rb
Josh Cooper,spec/integration/util/windows/security_spec.rb
Josh Cooper,spec/unit/network/http/factory_spec.rb
Josh Cooper,spec/unit/pops/parser/lexer2_spec.rb
Josh Cooper,spec/unit/puppet_pal_2pec.rb
Josh Cooper,spec/unit/puppet_pal_spec.rb
Josh Cooper,spec/unit/settings/config_file_spec.rb
Josh Cooper,spec/unit/settings/ini_file_spec.rb
Josh Cooper,spec/unit/type/file/content_spec.rb
Josh Cooper,spec/unit/util/character_encoding_spec.rb
Josh Cooper,spec/unit/util/feature_spec.rb
Josh Cooper,spec/unit/util/rubygems_spec.rb
Josh Cooper,spec/unit/util_spec.rb
Melissa Stone,acceptance/lib/puppet/acceptance/solaris_util.rb
Melissa Stone,acceptance/tests/resource/zfs/basic_tests.rb
Melissa Stone,acceptance/tests/resource/zfs/should_be_idempotent.rb
Melissa Stone,acceptance/tests/resource/zfs/should_create.rb
Melissa Stone,acceptance/tests/resource/zfs/should_query.rb
Melissa Stone,acceptance/tests/resource/zfs/should_remove.rb
Melissa Stone,lib/puppet/pops/loader/static_loader.rb
Melissa Stone,lib/puppet/provider/zfs/zfs.rb
Melissa Stone,lib/puppet/type/zfs.rb
Melissa Stone,spec/unit/pops/loaders/static_loader_spec.rb
Melissa Stone,spec/unit/provider/zfs/zfs_spec.rb
Melissa Stone,spec/unit/type/zfs_spec.rb
Melissa Stone,acceptance/lib/puppet/acceptance/solaris_util.rb
Melissa Stone,acceptance/tests/resource/zpool/basic_tests.rb
Melissa Stone,acceptance/tests/resource/zpool/should_be_idempotent.rb
Melissa Stone,acceptance/tests/resource/zpool/should_create.rb
Melissa Stone,acceptance/tests/resource/zpool/should_query.rb
Melissa Stone,acceptance/tests/resource/zpool/should_remove.rb
Melissa Stone,lib/puppet/pops/loader/static_loader.rb
Melissa Stone,lib/puppet/provider/zpool/zpool.rb
Melissa Stone,lib/puppet/type/zpool.rb
Melissa Stone,spec/unit/pops/loaders/static_loader_spec.rb
Melissa Stone,spec/unit/provider/zpool/zpool_spec.rb
Melissa Stone,spec/unit/type/zpool_spec.rb
Melissa Stone,spec/unit/type/zone_spec.rb
Josh Cooper,acceptance/lib/puppet/acceptance/solaris_util.rb
Josh Cooper,acceptance/tests/resource/zfs/basic_tests.rb
Josh Cooper,acceptance/tests/resource/zfs/should_be_idempotent.rb
Josh Cooper,acceptance/tests/resource/zfs/should_create.rb
Josh Cooper,acceptance/tests/resource/zfs/should_query.rb
Josh Cooper,acceptance/tests/resource/zfs/should_remove.rb
Josh Cooper,acceptance/tests/resource/zpool/basic_tests.rb
Josh Cooper,acceptance/tests/resource/zpool/should_be_idempotent.rb
Josh Cooper,acceptance/tests/resource/zpool/should_create.rb
Josh Cooper,acceptance/tests/resource/zpool/should_query.rb
Josh Cooper,acceptance/tests/resource/zpool/should_remove.rb
Josh Cooper,lib/puppet/pops/loader/static_loader.rb
Josh Cooper,lib/puppet/provider/zfs/zfs.rb
Josh Cooper,lib/puppet/provider/zpool/zpool.rb
Josh Cooper,lib/puppet/type/zfs.rb
Josh Cooper,lib/puppet/type/zpool.rb
Josh Cooper,spec/unit/pops/loaders/static_loader_spec.rb
Josh Cooper,spec/unit/provider/zfs/zfs_spec.rb
Josh Cooper,spec/unit/provider/zpool/zpool_spec.rb
Josh Cooper,spec/unit/type/zfs_spec.rb
Josh Cooper,spec/unit/type/zone_spec.rb
Josh Cooper,spec/unit/type/zpool_spec.rb
Jenkins CI,locales/puppet.pot
Josh Cooper,acceptance/lib/puppet/acceptance/solaris_util.rb
Josh Cooper,acceptance/tests/resource/zone/dataset.rb
Josh Cooper,acceptance/tests/resource/zone/set_ip.rb
Josh Cooper,acceptance/tests/resource/zone/set_path.rb
Josh Cooper,acceptance/tests/resource/zone/should_be_created_and_removed.rb
Josh Cooper,acceptance/tests/resource/zone/should_be_idempotent.rb
Josh Cooper,acceptance/tests/resource/zone/statemachine.rb
Josh Cooper,acceptance/tests/resource/zone/stepstates.rb
Josh Cooper,acceptance/tests/resource/zone/ticket_4840_should_create_zone_with_zpool.rb
Josh Cooper,lib/puppet/pops/loader/static_loader.rb
Josh Cooper,lib/puppet/provider/zone/solaris.rb
