filename,scatterness
pdf_viewer.js,1.09861
sketch_viewer.js,2.07944
stl_viewer.js,2.94444
template_selector.js,0.0
index.js,4.99043
mesh_object.js,3.89182
balsamiq_viewer.js,4.35463
index.js,3.93638
index.js,3.90158
index.js,4.29046
ci_yaml_selector.js,3.46574
dockerfile_selector.js,3.46574
gitignore_selector.js,3.43399
license_selector.js,3.67317
type_selector.js,3.21888
index.js,4.56182
blob_bundle.js,3.4187
edit_blob.js,0.0
eventhub.js,1.09861
filtered_search_boards.js,3.3883
index.js,0.0
board.js,0.0
board_blank_state.vue,0.0
board_card.vue,0.0
board_delete.js,0.0
board_list.vue,0.0
board_new_issue.vue,0.0
board_sidebar.js,0.0
issue_card_inner.vue,5.26023
new_list_dropdown.js,0.0
project_select.vue,4.81144
empty_state.vue,0.0
filters.js,0.0
footer.vue,0.0
header.vue,4.40672
index.vue,5.18178
list.vue,5.07517
lists_dropdown.vue,4.02535
tabs.vue,3.89182
remove_issue.vue,0.0
due_date_filters.js,0.0
modal_mixins.js,0.0
sortable_default_options.js,0.0
issue.js,0.0
list.js,0.0
milestone.js,0.0
project.js,1.79176
board_service.js,0.0
boards_store.js,0.0
modal_store.js,0.0
query_data.js,2.91249
branches_delete_modal.js,3.69885
ajax_variable_list.js,4.75033
ci_variable_list.js,5.27227
native_form_variable_list.js,3.24449
clusters_bundle.js,5.23256
clusters_index.js,2.87165
constants.js,2.42548
event_hub.js,1.09861
applications.vue,5.42303
application_row.vue,4.90108
gcp_signup_offer.js,3.29584
clusters_service.js,2.9915
clusters_store.js,4.26447
image_file.js,0.0
pipelines_bundle.js,0.0
pipelines_table.vue,4.21189
bootstrap.js,1.38629
gitlab_ui.js,1.38629
index.js,1.27703
jquery.js,2.04319
polyfills.js,2.69083
vue.js,1.38629
custom_event.js,2.14395
element.js,3.66356
event.js,2.89037
nodelist.js,1.94591
request_idle_callback.js,2.83321
cycle_analytics_bundle.js,0.0
cycle_analytics_service.js,0.0
cycle_analytics_store.js,0.0
default_event_objects.js,0.0
banner.vue,3.86089
limit_warning_component.vue,3.19887
stage_code_component.vue,3.87733
stage_component.vue,3.89054
stage_plan_component.vue,3.93854
stage_review_component.vue,4.12023
stage_staging_component.vue,4.22945
stage_test_component.vue,4.18599
total_time_component.vue,3.75036
eventhub.js,1.09861
index.js,3.17805
action_btn.vue,3.65481
app.vue,4.81411
key.vue,5.3357
keys_panel.vue,0.0
index.js,2.33937
index.js,2.07944
constants.js,3.26257
index.js,3.64595
app.vue,5.14501
changed_files.vue,5.03627
changed_files_dropdown.vue,4.77027
compare_versions.vue,4.00733
compare_versions_dropdown.vue,5.10595
diff_content.vue,3.94826
diff_discussions.vue,3.57345
diff_file.vue,4.79668
diff_file_header.vue,5.42511
diff_gutter_avatars.vue,4.65396
diff_line_gutter_content.vue,5.18173
diff_line_note_form.vue,4.41476
diff_table_cell.vue,4.67856
edit_button.vue,3.73767
hidden_files_warning.vue,3.93183
inline_diff_comment_row.vue,3.72791
inline_diff_table_row.vue,4.5726
inline_diff_view.vue,3.75426
no_changes.vue,3.89182
parallel_diff_comment_row.vue,4.46408
parallel_diff_table_row.vue,0.0
parallel_diff_view.vue,3.92277
changed_files.js,3.63759
actions.js,4.59255
getters.js,4.55563
mutations.js,4.1946
mutation_types.js,2.27187
utils.js,5.26397
diff_state.js,2.89037
index.js,1.90615
diff_notes_bundle.js,0.0
comment_resolve_btn.js,0.0
diff_note_avatars.js,4.62104
jump_to_discussion.js,0.0
new_issue_for_discussion.js,0.0
resolve_btn.js,0.0
resolve_count.js,0.0
resolve_discussion_btn.js,0.0
discussion.js,0.0
discussion.js,0.0
note.js,0.0
resolve.js,0.0
comments.js,0.0
docs_bundle.js,2.30259
constants.js,2.42602
drop_down.js,4.63756
drop_lab.js,4.81881
hook.js,2.35167
hook_button.js,3.67878
hook_input.js,4.55206
keyboard.js,4.72739
utils.js,3.6011
ajax.js,3.64368
ajax_filter.js,4.4382
filter.js,4.51086
input_setter.js,3.83524
index.js,4.42111
index.js,2.30259
is_emoji_unicode_supported.js,0.0
unicode_support_map.js,0.0
event_hub.js,1.09861
index.js,0.0
container.vue,4.06006
empty_state.vue,3.72118
environments_app.vue,4.66633
environments_table.vue,4.47161
environment_actions.vue,4.24478
environment_external_url.vue,3.44061
environment_item.vue,0.0
environment_monitoring.vue,3.41162
environment_rollback.vue,0.0
environment_stop.vue,0.0
environment_terminal_button.vue,0.0
stop_environment_modal.vue,4.52179
environments_folder_bundle.js,0.0
environments_folder_view.vue,0.0
environments_mixin.js,5.04918
environments_service.js,0.0
environments_store.js,0.0
feature_highlight.js,3.99724
feature_highlight_helper.js,2.79851
feature_highlight_options.js,2.48491
container.js,2.34199
dropdown_emoji.js,4.36945
dropdown_hint.js,0.0
dropdown_non_user.js,0.0
dropdown_user.js,0.0
dropdown_utils.js,0.0
event_hub.js,1.09861
filtered_search_dropdown.js,0.0
filtered_search_dropdown_manager.js,0.0
filtered_search_manager.js,0.0
filtered_search_tokenizer.js,0.0
filtered_search_token_keys.js,0.0
filtered_search_visual_tokens.js,5.21151
recent_searches_root.js,4.0028
recent_searches_dropdown_content.vue,4.63106
recent_searches_service.js,3.41162
recent_searches_service_error.js,2.3979
recent_searches_store.js,3.10797
constants.js,3.63759
event_hub.js,0.0
index.js,4.23411
utils.js,3.89182
app.vue,4.80402
frequent_items_list.vue,4.35671
frequent_items_list_item.vue,4.76217
frequent_items_mixin.js,3.13549
frequent_items_search_input.vue,4.00733
actions.js,4.39445
getters.js,1.38629
index.js,2.77259
mutations.js,4.26268
mutation_types.js,2.19722
state.js,2.07944
constants.js,3.55535
event_hub.js,1.09861
groups_filterable_list.js,4.16412
index.js,3.75558
new_group_child.js,4.07712
transfer_dropdown.js,3.5065
app.vue,5.10224
groups.vue,3.7177
group_folder.vue,3.61058
group_item.vue,4.63003
item_actions.vue,3.7872
item_caret.vue,3.07773
item_stats.vue,4.16814
item_stats_value.vue,4.05641
item_type_icon.vue,3.27809
groups_service.js,0.0
groups_store.js,4.65036
help.js,2.01981
