filename,scatterness
ticket_6710_relationship_syntax_should_work_with_title_arrays.rb,0.0
ticket_6857_password-disclosure-when-changing-a-users-password.rb,3.42459
ticket_6907_use_provider_in_same_run_it_becomes_suitable.rb,3.5134
ticket_7101_template_compile.rb,3.03514
ticket_7139_puppet_resource_file_qualified_paths.rb,0.0
ticket_7165_no_refresh_after_starting_service.rb,3.68344
ticket_7728_don't_log_whits_on_failure.rb,0.0
ticket_9862_puppet_runs_without_service_user_or_group_present.rb,3.85657
agent_disable_lockfile.rb,4.18783
agent_parses_json_catalog.rb,3.08465
fallback_to_cached_catalog.rb,2.77598
aix_package_provider.rb,4.30656
nim_package_provider.rb,4.49811
puppet_apply_graph.rb,2.65259
puppet_apply_trace.rb,1.89379
parameterized_classes.rb,3.98355
should_allow_param_override.rb,2.95467
should_allow_param_undef_override.rb,3.24572
should_include_resources_from_class.rb,2.33837
should_not_auto_include_resources_from_class.rb,1.74807
should_not_reassign.rb,2.34393
ticket_2659_concurrent_catalog_requests.rb,4.62084
apply_file_metadata_specified_in_config.rb,3.33782
cached_catalog_remediate_local_drift.rb,4.51383
catalog_uuid_correlates_catalogs_with_reports.rb,3.87682
static_catalog_env_control.rb,5.7779
supports_utf8.rb,3.96351
3x_forbidden_environment_names_allowed.rb,4.16114
agent_runs_pluginsync_with_proper_environment.rb,4.11356
broken_unassigned_environment_handled_gracefully.rb,3.95572
can_enumerate_environments.rb,3.86299
custom_type_provider_from_same_environment.rb,4.66605
directory_environment_production_created_master.rb,3.58239
directory_environment_with_environment_conf.rb,4.57378
enc_nonexistent_directory_environment.rb,0.0
environment_scenario-bad.rb,4.05329
use_agent_environment_when_enc_doesnt_specify.rb,3.87729
use_agent_environment_when_no_enc.rb,3.73488
use_enc_environment.rb,3.9211
use_enc_environment_for_files.rb,4.09011
use_enc_environment_for_pluginsync.rb,3.95861
use_environment_from_environmentpath.rb,0.0
variables_refreshed_each_compilation.rb,4.23521
agent_run_should_fail_if_env_unreadable.rb,4.04813
agent_run_should_fail_if_site_pp_unreadable.rb,3.95124
4654_facts_face.rb,4.12193
help_test.rb,3.6
loadable_from_modules.rb,0.0
parser_validate.rb,3.95179
check_puppet_run_message.rb,2.99573
enable_option_disable_i18n.rb,3.50063
translation_fallback.rb,2.94444
puppet_agent.rb,4.92725
puppet_agent_cached_catalog.rb,4.70048
puppet_agent_with_multiple_environments.rb,4.41884
puppet_apply.rb,4.32539
puppet_apply_module_lang.rb,4.31218
puppet_apply_unsupported_lang.rb,4.13854
puppet_describe.rb,3.64015
puppet_face.rb,3.92906
puppet_facts.rb,3.66549
puppet_resource.rb,3.66549
binary_data_type.rb,4.07011
break.rb,3.45029
class_inheritance.rb,2.84648
exported_resources.rb,5.08408
functions_in_puppet_language.rb,4.7456
next.rb,3.45029
objects_in_catalog.rb,3.5065
pcore_generate_env_isolation.rb,4.14343
pcore_resource_types_should_have_precedence_over_ruby.rb,4.44444
resource_refs_with_nested_arrays.rb,3.06029
return.rb,4.25777
sensitive_data_type.rb,4.625
server_set_facts.rb,3.56776
autoload_from_resource_type_decl.rb,4.66001
func4x_loadable_from_modules.rb,4.2434
resource_triggers_autoload.rb,3.89182
config3_interpolation.rb,0.0
config5_interpolation.rb,4.75927
hiera3_custom_backend.rb,4.2747
lookup.rb,0.0
lookup_rich_values.rb,4.24295
merge_strategies.rb,5.1833
v3_config_and_data.rb,4.48789
v4_hieradata_with_v5_configs.rb,4.51991
invalid_module_install_path.rb,2.57984
missing_checksums_json.rb,3.57263
missing_metadata_json.rb,2.83154
module_with_modified_file.rb,3.03514
module_with_removed_file.rb,3.08048
unmodified_module.rb,2.64916
already_installed.rb,3.77097
already_installed_elsewhere.rb,3.75077
already_installed_with_local_changes.rb,3.58455
basic_install.rb,2.84489
force_ignores_dependencies.rb,3.02981
ignoring_dependencies.rb,2.79498
nonexistent_directory.rb,3.20519
nonexistent_module.rb,3.26088
with_debug.rb,2.94162
with_dependencies.rb,2.95304
with_environment.rb,3.74501
with_existing_module_directory.rb,3.90878
with_modulepath.rb,3.29768
with_necessary_upgrade.rb,3.19676
with_no_dependencies.rb,2.7756
with_unnecessary_upgrade.rb,3.2823
with_unsatisfied_constraints.rb,3.82036
with_version.rb,2.78704
with_circular_dependencies.rb,3.66668
with_environment.rb,2.99707
with_installed_modules.rb,4.38443
with_invalid_dependencies.rb,4.22485
with_missing_dependencies.rb,4.1743
with_modulepath.rb,4.05635
