Issue Type,Issue key,Status,Created,Priority,Resolved,Bug age,,,,,,,,,,
Bug,PUP-7830,Closed,8/10/2017,Blocker,8/18/2017,8,,,,,,,,,,
Bug,PUP-7893,Closed,8/30/2017,Blocker,8/31/2017,1,,,,,,,,,,
Bug,PUP-7920,Closed,9/6/2017,Blocker,9/12/2017,6,,,,,,,,,,
Bug,PUP-8375,Closed,1/19/2018,Blocker,1/26/2018,7,,,,,,,,,,
Bug,PUP-8419,Closed,2/6/2018,Blocker,7/11/2018,155,,,,,,,,,,
Bug,PUP-8420,Closed,2/6/2018,Blocker,2/9/2018,3,,,,,,,,,,
Bug,PUP-9008,Closed,7/17/2018,Blocker,8/7/2018,21,,,,,,,,,,
Bug,PUP-9143,Closed,9/17/2018,Blocker,9/17/2018,0,,,,,,,,,,
Bug,PUP-9180,Closed,9/26/2018,Blocker,9/26/2018,0,,,,,,,,,,
Bug,PUP-9194,Closed,10/3/2018,Blocker,10/9/2018,6,,,,,,,,,,
Bug,PUP-2,Resolved,5/31/2013,Blocker,6/17/2013,17,,,,,,,,,,
Bug,PUP-51,Resolved,6/20/2013,Blocker,6/21/2013,1,,,,,,,,,,
Bug,PUP-282,Resolved,8/30/2013,Blocker,9/11/2013,12,,,,,,,,,,
Bug,PUP-414,Resolved,9/25/2013,Blocker,9/27/2013,2,,,,,,,,,,
Bug,PUP-1384,Resolved,1/7/2014,Blocker,2/11/2014,35,,,,,,,,,,
Bug,PUP-1508,Resolved,1/24/2014,Blocker,2/3/2014,10,,,,,,,,,,
Bug,PUP-5213,Resolved,9/8/2015,Blocker,10/14/2015,36,,,,,,,,,,
Bug,PUP-4339,Resolved,3/30/2015,Blocker,1/26/2016,302,,,,,,,,,,
Bug,PUP-4040,Resolved,2/24/2015,Blocker,3/11/2015,15,,,,,,,,,,
Bug,PUP-3796,Resolved,12/28/2014,Blocker,3/25/2015,87,,,,,,,,,,
Bug,PUP-6473,Resolved,7/5/2016,Blocker,7/6/2016,1,,,,,,,,,,
Bug,PUP-6736,Resolved,9/22/2016,Blocker,9/23/2016,1,,,,,,,,,,
Bug,PUP-2354,Accepted,4/23/2014,Critical,,1681,,,,,,,,,,
Bug,PUP-5334,Accepted,10/6/2015,Critical,,1150,,,,,,,,,,
Bug,PUP-5208,Accepted,9/7/2015,Critical,,1180,,,,,,,,,,
Bug,PUP-99,Closed,6/25/2013,Critical,9/26/2013,93,,,,,,,,,,
Bug,PUP-191,Closed,7/23/2013,Critical,12/15/2013,145,,,,,,,,,,
Bug,PUP-254,Closed,8/19/2013,Critical,8/28/2013,9,,,,,,,,,,
Bug,PUP-1494,Closed,1/22/2014,Critical,2/5/2014,14,,,,,,,,,,
Bug,PUP-1515,Closed,1/24/2014,Critical,3/26/2015,426,,,,,,,,,,
Bug,PUP-1740,Closed,2/20/2014,Critical,5/15/2017,1180,,,,,,,,,,
Bug,PUP-1904,Closed,3/10/2014,Critical,6/30/2014,112,,,,,,,,,,
Bug,PUP-1983,Closed,3/19/2014,Critical,6/13/2014,86,,,,,,,,,,
Bug,PUP-2039,Closed,3/26/2014,Critical,3/31/2014,5,,,,,,,,,,
